0,"#2506 -183 WELLINGTON ST W, Toronto, Ontario, M5V 0A1"
1,"#PH 1027 -55 STEWART ST, Toronto, Ontario, M5V 2V1"
3,"#1003 -410 QUEENS QUAY W, Toronto, Ontario, M5V 3T1"
4,"#4901 -2191 YONGE ST, Toronto, Ontario, M4S 3H8"
5,"#1801 -210 VICTORIA  ST, Toronto, Ontario, M5B 2R3"
7,"#713 -89 SKYMARK DR, Toronto, Ontario, M2H 3S6"
9,"#201 -70 ELMSTHORPE AVE, Toronto, Ontario, M5P 2L7"
14,"#N115 -120 BAYVIEW  AVE, Toronto, Ontario, M5A 3R7"
15,"#417 -70 DISTILLERY LANE, Toronto, Ontario, M5A 0E3"
17,"#1905 -832 BAY ST, Toronto, Ontario, M5S 1Z6"
18,"#PH 3102 -90 PARK LAWN RD, Toronto, Ontario, M8Y 0B6"
19,"#2005 -65 ST MARY ST, Toronto, Ontario, M5S 0A6"
21,"#1810 -105 GEORGE ST, Toronto, Ontario, M5A 2N4"
22,"#524 -10 GUILDWOOD PKWY, Toronto, Ontario, M1E 5B5"
23,"#703 -290 ADELAIDE ST W, Toronto, Ontario, M5V 1P6"
24,"#2609 -197 YONGE ST, Toronto, Ontario, M5B 1M4"
25,"#308 -319 CARLAW AVE, Toronto, Ontario, M4M 0A4"
26,"#24 -284 BROCK AVE, Toronto, Ontario, M6K 2M4"
28,"#509 -233 CARLAW AVE, Toronto, Ontario, M4M 3N6"
29,"#2402 -170 BAYVIEW AVE, Toronto, Ontario, M5A 1H7"
30,"#602 -2267 LAKE SHORE BLVD W, Toronto, Ontario, M8V 3X2"
31,"77 CRIMSON MILLWAY WAY, Toronto, Ontario, M2L 1T8"
32,"#235 -5 ELSIE LANE, Toronto, Ontario, M6P 3N3"
33,"#2317 -18 SOMMERSET WAY, Toronto, Ontario, M2N 6X5"
34,"#2715 -75 QUEENS WHARF RD, Toronto, Ontario, M5V 0J8"
35,"#103 -3800 YONGE ST, Toronto, Ontario, M4N 3P7"
36,"#3615 -75 QUEENS WHARF RD, Toronto, Ontario, M5V 0J8"
37,"#302 -1733 QUEEN ST E, Toronto, Ontario, M4L 6S9"
38,"#1717 -155 YORKVILLE AVE, Toronto, Ontario, M5R 1C4"
39,"#211 -1765 QUEEN ST E, Toronto, Ontario, M4L 3Z2"
40,"#1005 -89 DUNFIELD AVE, Toronto, Ontario, M4S 0A4"
41,"#9 -70 BYNG AVE, Toronto, Ontario, M2N 7L9"
42,"#808 -9 BOGERT AVE, Toronto, Ontario, M2N 0H3"
43,"#1118 -20 MINOWAN MIIKAN LANE, Toronto, Ontario, M6J 0E5"
44,"#804 -208 QUEENS QUAY W, Toronto, Ontario, M5J 2Y5"
45,"#305 -435 RICHMOND ST W, Toronto, Ontario, M5V 1X9"
46,"#501 -159 DUNDAS ST E, Toronto, Ontario, M5B 1E4"
47,"#706 -2 CLAIRTRELL RD, Toronto, Ontario, M2N 7H5"
50,"#33 -22 APPLEWOOD LANE, Toronto, Ontario, M9C 2Z7"
51,"#619 -500 DORIS AVE, Toronto, Ontario, M2N 0C1"
52,"#3106 -21 WIDMER ST, Toronto, Ontario, M5V 0B8"
55,"#221 -525 ADELAIDE ST W, Toronto, Ontario, M5V 1T6"
58,"#205 -260 DORIS AVE, Toronto, Ontario, M2N 6X9"
60,"#2402 -32 DAVENPORT RD, Toronto, Ontario, M5R 0B5"
61,"#1208 -33 CHARLES ST E, Toronto, Ontario, M4Y 0A2"
62,"#1305 -25 BROADWAY AVE, Toronto, Ontario, M4P 1T7"
64,"#812 -7 KENASTON  GDNS, Toronto, Ontario, M2K 1G7"
65,"#304 -660 PAPE AVE, Toronto, Ontario, M4K 3S5"
66,"#1407 -188 DORIS AVE, Toronto, Ontario, M2N 6Z5"
67,"#1022 -19 SINGER CRT, Toronto, Ontario, M2K 0B2"
68,"#2810 -30 NELSON ST, Toronto, Ontario, M5V 0H5"
69,"#1611 -7 CARLTON ST, Toronto, Ontario, M5B 2M3"
70,"#507 -5168 YONGE ST, Toronto, Ontario, M2N 5P6"
71,"##56 -19 ELDORA AVE, Toronto, Ontario, M2M 0B5"
72,"#11 -15 HERON PARK PL, Toronto, Ontario, M1E 0B8"
73,"#611 -5 NORTHTOWN WAY, Toronto, Ontario, M2N 7A1"
76,"#1008 -70 TEMPERANCE ST, Toronto, Ontario, M5H 4E8"
77,"#421 -783 BATHURST ST, Toronto, Ontario, M5S 1Z5"
78,"#710 -28 BYNG AVE, Toronto, Ontario, M2N 7H4"
79,"#807 -1486 BATHURST ST, Toronto, Ontario, M5P 3G9"
80,"#115 -20 GOTHIC AVE, Toronto, Ontario, M6P 1T5"
81,"#3602 -25 TOWN CENTRE CRT, Toronto, Ontario, M1P 0B4"
84,"#639 -3 EVERSON DR, Toronto, Ontario, M2N 7C2"
85,"#1208 -25 MAITLAND ST, Toronto, Ontario, M4Y 2W1"
86,"#825 -99 THE DONWAY AVE, Toronto, Ontario, M3C 0N8"
88,"#914 -1055 BAY ST, Toronto, Ontario, M5S 3A3"
89,"#829 -1 SHAW ST, Toronto, Ontario, M6K 0A1"
